resume_id,job_id,resume_skill_count,job_skill_count,common_skills,missing_skills,extra_skills,skill_overlap_ratio,skill_jaccard,resume_degree_level,required_degree_level,education_gap,education_match,resume_years,required_years,experience_gap,experience_match,experience_ratio,resume_language_count,required_language_count,common_languages,language_overlap,resume_certification_count,required_certification_count,common_certifications,certification_overlap,tfidf_similarity,semantic_similarity
Abdelrahman_Mohamed,job_0001,3,6,0,6,3,0.0,0.0,2,0,2,1,10,0,10,1,1.0,2,0,0,1.0,3,1,0,0.0,0.0708,0.1636
Abdelrahman_Mohamed,job_0002,3,5,3,2,0,0.6,0.6,2,3,-1,0,10,0,10,1,1.0,2,0,0,1.0,3,1,1,1.0,0.3713,0.6133
Abdelrahman_Mohamed,job_0003,3,5,1,4,2,0.2,0.1429,2,4,-2,0,10,0,10,1,1.0,2,0,0,1.0,3,0,0,1.0,0.1523,0.3442
Abdelrahman_Mohamed,job_0004,3,2,0,2,3,0.0,0.0,2,2,0,1,10,76,-66,0,0.1316,2,0,0,1.0,3,0,0,1.0,0.1632,0.3134
Abdelrahman_Mohamed,job_0005,3,3,1,2,2,0.3333,0.2,2,2,0,1,10,0,10,1,1.0,2,0,0,1.0,3,0,0,1.0,0.2153,0.3515
Abdelrahman_Mohamed,job_0006,3,6,2,4,1,0.3333,0.2857,2,2,0,1,10,0,10,1,1.0,2,0,0,1.0,3,1,1,1.0,0.3189,0.5246
Abdelrahman_Mohamed,job_0007,3,3,1,2,2,0.3333,0.2,2,2,0,1,10,0,10,1,1.0,2,0,0,1.0,3,0,0,1.0,0.203,0.3785
Abdelrahman_Mohamed,job_0008,3,4,0,4,3,0.0,0.0,2,3,-1,0,10,0,10,1,1.0,2,0,0,1.0,3,0,0,1.0,0.138,0.2117
Abdelrahman_Mohamed,job_0009,3,7,1,6,2,0.1429,0.1111,2,0,2,1,10,0,10,1,1.0,2,1,1,1.0,3,2,1,0.5,0.2203,0.2636
Abdelrahman_Mohamed,job_0010,3,4,0,4,3,0.0,0.0,2,3,-1,0,10,0,10,1,1.0,2,0,0,1.0,3,0,0,1.0,0.0923,0.1452
Abdelrahman_Mohamed,job_0011,3,2,0,2,3,0.0,0.0,2,3,-1,0,10,0,10,1,1.0,2,1,1,1.0,3,0,0,1.0,0.2301,0.3952
Abdelrahman_Mohamed,job_0012,3,5,1,4,2,0.2,0.1429,2,2,0,1,10,0,10,1,1.0,2,0,0,1.0,3,1,1,1.0,0.267,0.3587
Abdelrahman_Mohamed,job_0013,3,0,0,0,3,0.0,0.0,2,2,0,1,10,0,10,1,1.0,2,0,0,1.0,3,0,0,1.0,0.2105,0.3214
